,食物成分表,,,,,,,,,,,,,,,,,,
序号,名  称,可食部分,能量,水分,蛋白质,脂肪,膳食纤维,碳水化物,维生素A,维生素B1,维生素B2,烟酸,维生素E,钠,钙,铁,类别,维生素C,胆固醇
1,大黄米（黍）,100,349,11.3000001907349,13.6000003814697,2.70000004768372,3.5,67.5999984741211,0,0.300000011920929,0.0900000035762787,1.39999997615814,1.78999996185303,1.70000004768372,30,5.69999980926514,11,0,0
2,大麦（元麦）,100,307,13.1000003814697,10.1999998092651,1.39999997615814,9.89999961853027,63.4000015258789,0,0.140000000596046,0.0500000007450581,5,0.25,1.60000002384186,13,5.09999990463257,11,0,0
3,稻谷（早籼）,64,359,10.1999998092651,9.89999961853027,2.20000004768372,1.39999997615814,74.8000030517578,0,0.140000000596046,0.0500000007450581,5,0.25,1.60000002384186,13,5.09999990463257,11,0,0
4,稻米（大米）,100,346,13.3000001907349,7.40000009536743,0.800000011920929,0.699999988079071,77.1999969482422,0,0.109999999403954,0.0500000007450581,1.89999997615814,0.46000000834465,3.79999995231628,13,2.29999995231628,11,0,0
5,稻米（粳，特级）,100,334,16.2000007629395,7.30000019073486,0.400000005960464,0.400000005960464,75.3000030517578,0,0.0799999982118607,0.0399999991059303,1.10000002384186,0.759999990463257,6.19999980926514,24,0.899999976158142,11,0,0
6,稻米（粳，标一）,100,343,13.6999998092651,7.69999980926514,0.600000023841858,0.600000023841858,76.8000030517578,0,0.159999996423721,0.0799999982118607,1.29999995231628,1.00999999046326,2.40000009536743,11,1.10000002384186,11,0,0
7,稻米（粳，标二）,100,348,13.1999998092651,8,0.600000023841858,0,77.6999969482422,0,0.219999998807907,0.0500000007450581,2.59999990463257,0.529999971389771,0.899999976158142,3,0.400000005960464,11,0,0
8,稻米（粳，标三）,100,345,13.8999996185303,7.19999980926514,0.800000011920929,0.400000005960464,77.1999969482422,0,0.330000013113022,0.0299999993294477,3.59999990463257,0.379999995231628,1.29999995231628,5,0.699999988079071,11,0,0
9,稻米（粳，标四）,100,346,13.1000003814697,7.5,0.699999988079071,0.699999988079071,77.4000015258789,0,0.140000000596046,0.0500000007450581,5.19999980926514,0.389999985694885,1.60000002384186,4,0.699999988079071,11,0,0
10,稻米（早籼，特等）,100,346,12.8999996185303,9.10000038146973,0.600000023841858,0.699999988079071,76,0,0.129999995231628,0.0299999993294477,1.60000002384186,0,1.29999995231628,6,0.899999976158142,11,0,0
11,稻米（早籼，标一）,100,351,12.3000001907349,8.80000019073486,1,0.400000005960464,76.8000030517578,0,0.159999996423721,0.0500000007450581,2,0,1.89999997615814,10,1.20000004768372,11,0,0
12,稻米（早籼，标二）,100,345,13.6999998092651,9.5,1,0.5,74.5999984741211,0,0.200000002980232,0.0900000035762787,3,0,0.800000011920929,6,1,11,0,0
13,稻米（晚籼，特）,100,342,14,8.10000038146973,0.300000011920929,0.200000002980232,76.6999969482422,0,0.0900000035762787,0.100000001490116,1.5,0,0.800000011920929,6,0.699999988079071,11,0,0
14,稻米（晚籼，标一）,100,345,13.5,7.90000009536743,0.699999988079071,0.5,76.8000030517578,0,0.170000001788139,0.0500000007450581,1.70000004768372,0.219999998807907,1.5,9,1.20000004768372,11,0,0
15,稻米（晚籼，标二）,100,343,14.1999998092651,8.60000038146973,0.800000011920929,0.400000005960464,75.3000030517578,0,0.180000007152557,0.0599999986588955,2.59999990463257,0,0.899999976158142,6,2.79999995231628,11,0,0
